Title,Company,Location,Salary,Snippet,Date Posted,Job Url
Dental Office Front Desk /Receptionist,Seamark Seafood & Cocktails —,,"$55,000 - $70,000 a year","Dentrix expert with insurance, quoting co-payments, scheduling, financial arrangements, and computer expertise. Pay may depend on skills and/or qualifications.",18h,https://www.simplyhired.com/job/xFMW47zBAQFdOBIdl6fT20KQTuqVsB5A1sAzf-4hpMeI9xFw44FNXQ
Dental Office Patient Coordinator for Greater Boston's Premier Office,Seamark Seafood & Cocktails —,,$28 - $32 an hour,"State-of-the-art offices featuring the latest technology, design, and employee lounges. Ideal candidates will be proficient in productive scheduling,…",5d,https://www.simplyhired.com/job/pwdGHiXH0LVhBDjsAtVpZ4eH7HW8sDhOFB-pkParqJD0XbhzNLpdZA
FT- Patient Coordinator/Dental Office-Willing to Train,Seamark Seafood & Cocktails —,,$22 - $28 an hour,"Primary responsibilities will include greeting patients, confirming appointments, concierge level customer service, answering phones, collecting payments from…",4d,https://www.simplyhired.com/job/tvCJxeOJsRcCfCjmdAbTpWwtciKq2MPrfTulIEXBUWBFfAhbPcELrQ
Dental Front Desk,Seamark Seafood & Cocktails —,,,Collect co-payments and verify insurance coverage. Treatment planning and coordinating to promote high-case acceptance.,12h,https://www.simplyhired.com/job/0mlGKmlLWK9xWFCBPFv8d-vkRrx0odJ5cftPAfrzt4C4J9DCooFyow
Backhoe Operator,Seamark Seafood & Cocktails —,,,We equip our qualified workforce with state-of-the-art training and innovative tools to provide excellent service to our customers in the safest manner possible…,21h,https://www.simplyhired.com/job/uBT6JP7D_arTFEHKTghZvKgFlsxTdOB4AIFmHnnnFmSgB0A_XNwV4w
Dental Patient Coordinator,Seamark Seafood & Cocktails —,,$23 - $29 an hour,"Responsibilities include greeting patients, answering phones, scheduling appointments, treatment plan coordination, insurance claims and patient billing.",3d,https://www.simplyhired.com/job/j0w47WQ008Mrnn4lLcSYEDMNYrMJNKymRm9KUFF4th04KcW3uKJ3ww
Human Rights And Opportunities Trainee (Hybrid),Seamark Seafood & Cocktails —,,"$56,219 - $71,011 a year","Receives training in investigation of discriminatory practices complaints, review of affirmative action plans, compliance review of contractors doing business…",5d,https://www.simplyhired.com/job/ZfVyGigRdYBvnNTVHfaxkKAkh3IMs8cOLJe944GiMJ_gjLrcSOE9WQ
"Analyst, Customer Experience",Seamark Seafood & Cocktails —,,"$67,900 - $106,700 a year","Handle incoming calls professionally, addressing inquiries, and resolving customer concerns. Resolve credit and debit issues, collaborating with AR, Credit, and…",3d,https://www.simplyhired.com/job/N66Yluq2IyQxyL1JoatpQTGW2Mt-64FdSGAH6NodRaqi5is6Afv-_w
Patient Check In Representative,Seamark Seafood & Cocktails —,,"$40,000 - $55,000 a year","At least one year experience in a business role (i.e., healthcare or hospitality check in with cash handling, insurance verification, payment collection,…",5d,https://www.simplyhired.com/job/twUIWknrxCpLpY9ur8DmEVrLYprN1TgMKZ7wlqcg5ZnWVF-ScYIiPA
Security Officer,Seamark Seafood & Cocktails —,,$25 - $40 an hour,"Manage access control measures to regulate entry into the site, verifying credentials and directing visitors, as needed; High School Diploma or GED;",5d,https://www.simplyhired.com/job/mjejB8D7jSttCSysNGpPHWOyFSC9ptQWKKsUptAMkHmPw_uFPTq-hA
